locid,siteno,airport_name,width,facility_id,start_x,start_y,end_x,end_y
FAI,50219.*A,FAIRBANKS INTL,50,10593611,-147.84655550000,64.81605561110,-147.83507541700,64.82229566670
FAI,50219.*A,FAIRBANKS INTL,50,10593611,-147.88588438900,64.80263211110,-147.83920258300,64.82803077780
FAI,50219.*A,FAIRBANKS INTL,50,10593611,-147.87562141700,64.80023986110,-147.84990738900,64.81423297220
FAI,50219.*A,FAIRBANKS INTL,50,10593611,-147.85460811100,64.81611219440,-147.83323036100,64.82773191670
KFP,50221.5*A,FALSE PASS,50,10607911,-163.40962500000,54.85036111110,-163.40448333300,54.84528333330
FYU,50235.*A,FORT YUKON,50,10546311,-145.26124777800,66.56902361110,-145.23141511100,66.57578941670
GBH,50257.5*A,GALBRAITH LAKE,50,10568111,-149.49886919400,68.48594519440,-149.48095077800,68.47340641670
GAL,50258.*A,EDWARD G. PITKA SR,50,10546211,-156.94769944400,64.73659000000,-156.92987638900,64.73663111110
GAL,50258.*A,EDWARD G. PITKA SR,50,10546211,-156.96003341700,64.73592036110,-156.91365855600,64.73608513890
GAM,50260.*A,GAMBELL,50,10575911,-171.73470263900,63.77270641670,-171.73086513900,63.76052163890
GLV,50275.01*A,GOLOVIN,50,10574811,-163.01463611100,64.54602972220,-162.99970416700,64.55488055560
GNU,50277.*A,GOODNEWS,50,10601811,-161.58196441700,59.11638433330,-161.56536955600,59.11933511110
Z40,50278.6*A,GOOSE BAY,50,10576511,-149.85123055600,61.39468055560,-149.83413888900,61.39421111110
KGX,50280.69*A,GRAYLING,50,10542711,-160.06586130600,62.89754891670,-160.06693247200,62.88662169440
GKN,50281.*A,GULKANA,50,10552011,-145.45661325000,62.16170750000,-145.45205888900,62.14819605560
GST,50284.*A,GUSTAVUS,50,10556911,-135.71819280600,58.42006347220,-135.70742311100,58.42656080560
GST,50284.*A,GUSTAVUS,50,10556911,-135.71727927800,58.43271533330,-135.69250061100,58.41970519440
HNS,50296.*A,HAINES,50,10591511,-135.53356638900,59.24571472220,-135.51350888900,59.24194388890
HRR,50308.*A,HEALY RIVER,50,10596211,-148.97007358300,63.87152413890,-148.96760816700,63.86363719440
HOM,50320.*A,HOMER,50,10587411,-151.49142994400,59.64029400000,-151.46175483300,59.65080419440
HNH,50321.01*A,HOONAH,50,10556711,-135.41726805600,58.09522472220,-135.40212666700,58.09695833330
HPB,50322.*A,HOOPER BAY,50,10550611,-166.15154266700,61.52772619440,-166.14170875000,61.52001877780
HUS,50328.*A,HUGHES,50,10543211,-154.26197536100,66.04357638890,-154.26741863900,66.03460530560
IGG,50338.*A,IGIUGIG,50,10580111,-155.90940861100,59.32277222220,-155.89413666700,59.32531111110
ILI,50340.*A,ILIAMNA,50,10580011,-154.92405658300,59.75188550000,-154.89650950000,59.75130408330
ILI,50340.*A,ILIAMNA,50,10580011,-154.90961600000,59.76262013890,-154.91371636100,59.74965219440
ILI,50340.*A,ILIAMNA,50,10580011,-154.92083333300,59.75916666670,-154.93694444400,59.76027777780
ILI,50340.*A,ILIAMNA,50,10580011,-154.92694444400,59.76111111110,-154.93194444400,59.75361111110
JNU,50385.*A,JUNEAU INTL,50,10590911,-134.59696944400,58.35784722220,-134.55239722200,58.35163333330
AFE,50393.01*A,KAKE,50,10549211,-133.91795000000,56.96487222220,-133.90257222200,56.95785277780
KLG,50397.*A,KALSKAG,50,10601311,-160.35031388900,61.53562222220,-160.33234722200,61.53692777780
KAL,50398.*A,KALTAG,50,10543011,-158.75044230600,64.31524191670,-158.73216975000,64.32271800000
KYK,50399.7*A,KARLUK,50,10584011,-154.45814980600,57.56749863890,-154.44947961100,57.56462566670
ENA,50410.*A,KENAI MUNI,50,10587511,-151.25838750000,60.56311138890,-151.23593783300,60.58145991670
ENA,50410.*A,KENAI MUNI,50,10587511,-151.23831111100,60.57496150000,-151.23257088900,60.57964736110
KTN,50412.03*A,KETCHIKAN INTL,50,10586111,-131.72382675000,55.36141211110,-131.69860983300,55.34674108330
IAN,50412.9*A,BOB BAKER MEMORIAL,50,10565911,-160.44828472200,66.97530222220,-160.42478416700,66.97660583330
KVC,50414.1*A,KING COVE,50,10607811,-162.27460000000,55.11619444440,-162.25789166700,55.11650277780
AKN,50416.*A,KING SALMON,50,10598511,-156.66472650000,58.68394000000,-156.62989722200,58.66768888890
AKN,50416.*A,KING SALMON,50,10598511,-156.64878163900,58.68327319440,-156.65471063900,58.67272213890
IIK,50416.31*A,KIPNUK,50,10601611,-164.02767500000,59.93601111110,-164.02910833300,59.92728611110
KVL,50417.*A,KIVALINA,50,10565811,-164.57085361100,67.73915361110,-164.55613833300,67.73314888890
AKW,50420.01*A,KLAWOCK,50,10564311,-133.08362222200,55.57392222220,-133.06837222200,55.58454166670
OBU,50422.1*A,KOBUK,50,10565711,-156.91078183300,66.91385800000,-156.88388238900,66.91082083330
ADQ,50425.*A,KODIAK,50,10585511,-152.51903591700,57.75219161110,-152.48041116700,57.75146605560
ADQ,50425.*A,KODIAK,50,10585511,-152.50226711100,57.75491975000,-152.48020583300,57.74602136110
ADQ,50425.*A,KODIAK,50,10585511,-152.48283455600,57.75294175000,-152.49258366700,57.74026127780
9K2,50426.25*A,KOKHANOK,50,11788511,-154.81133888900,59.43255833330,-154.79384722200,59.43401388890
DUY,50426.6*A,KONGIGANAK,50,10602211,-162.88304444400,59.95858611110,-162.87814166700,59.96467500000
2A9,50427.61*A,KOTLIK,50,10551111,-163.53973525000,63.02549861110,-163.52552666700,63.03565444440
OTZ,50429.*A,RALPH WIEN MEMORIAL,50,10565511,-162.60934502800,66.88943611110,-162.56917547200,66.88613783330
OTZ,50429.*A,RALPH WIEN MEMORIAL,50,10565511,-162.60932386100,66.88510663890,-162.61580327800,66.87482444440
KKA,50433.2*A,KOYUK ALFRED ADAMS,50,10575211,-161.15819638900,64.93576694440,-161.15033472200,64.94326722220
KYU,50436.*A,KOYUKUK,50,10542611,-157.74305588900,64.87476230560,-157.71781530600,64.87687111110
KWT,50438.5*A,KWETHLUK,50,10600811,-161.44124216700,60.79454902780,-161.44614391700,60.78613244440
GGV,50438.61*A,KWIGILLINGOK,50,12478211,-163.16937222200,59.87800277780,-163.16670277800,59.87316666670
2A3,50439.71*A,LARSEN BAY,50,10585811,-153.98239030600,57.53304752780,-153.97096916700,57.53710327780
4AK,50451.*A,LIVENGOOD CAMP,50,11159711,-148.65523333300,65.47203333330,-148.65405000000,65.46818333330
MCG,50467.*A,MC GRATH,50,10542411,-155.61883055600,62.95677777780,-155.60772777800,62.95886388890
MCG,50467.*A,MC GRATH,50,10542411,-155.60530555600,62.95920000000,-155.60460555600,62.94297222220
MLY,50475.*A,MANLEY HOT SPRINGS,50,10542111,-150.64372177800,64.99230422220,-150.65141944400,64.98359722220
MYU,50488.5*A,MEKORYUK,50,10600611,-166.27839166700,60.36975000000,-166.26282500000,60.37308888890
MDO,50492.*A,MIDDLETON ISLAND,50,10551811,-146.31285216700,59.44420863890,-146.30329019400,59.45134475000
MDO,50492.*A,MIDDLETON ISLAND,50,10551811,-146.30752586100,59.45627611110,-146.30345925000,59.45273186110
MHM,50497.*A,MINCHUMINA,50,10542211,-152.31101397200,63.88193541670,-152.29267186100,63.89002822220
51Z,50498.1*A,MINTO AL WRIGHT,50,10547811,-149.37599647200,65.14472372220,-149.36118150000,65.15161738890
MOU,50502.*A,MOUNTAIN VILLAGE,50,10550211,-163.68834183300,62.09075638890,-163.67735538900,62.09882652780
WNA,50520.01*A,NAPAKIAK,50,10599211,-161.97917777800,60.69476011110,-161.97780025000,60.68590108330
PKA,50520.18*A,NAPASKIAK,50,10600011,-161.78258861100,60.69938611110,-161.77402638900,60.70643833330
ENN,50524.*A,NENANA MUNI,50,10546611,-149.08706388900,64.54560833330,-149.06202777800,64.55209722220
ENN,50524.*A,NENANA MUNI,50,10546611,-149.08368611100,64.54552500000,-149.06996944400,64.54908055560
ENN,50524.*A,NENANA MUNI,50,10546611,-149.08073055600,64.54264722220,-149.06176944400,64.54815555560
EWU,50529.*A,NEWTOK,50,10601911,-164.64423572200,60.94177088890,-164.63824091700,60.93649958330
IGT,50529.75*A,NIGHTMUTE,50,10601711,-164.70972777800,60.46585000000,-164.69834722200,60.47249166670
IKO,50530.*A,NIKOLSKI AS,50,10605311,-168.85699983300,52.94159561110,-168.84107847200,52.94152736110
WTK,50536.1*A,NOATAK,50,10564911,-162.98578658300,67.55612450000,-162.97505836100,67.56623372220
94Z,50538.*A,NOME CITY FIELD,50,11689211,-165.39448022200,64.50948500000,-165.38598022200,64.51335955560
OME,50540.*A,NOME,50,10574711,-165.45180741700,64.50723441670,-165.42827730600,64.51861811110
OME,50540.*A,NOME,50,10574711,-165.46804425000,64.51430819440,-165.43221047200,64.50876283330
5NN,50540.1*A,NONDALTON,50,10581011,-154.84384388900,59.97719722220,-154.83450583300,59.98326305560
ORT,50544.*A,NORTHWAY,50,10555211,-141.94294575000,62.95949750000,-141.91321019400,62.96284936110
AQT,50548.8*A,NUIQSUT,50,10571811,-151.02382663900,70.20765586110,-150.98913219400,70.21201100000
NUL,50550.*A,NULATO,50,10541811,-158.08278444400,64.72524777780,-158.06565944400,64.73337388890
16A,50552.1*A,NUNAPITCHUK,50,10603411,-162.43874080600,60.90919666670,-162.44244033300,60.90282602780
PAQ,50584.*A,PALMER MUNI,50,10577011,-149.10064444400,61.59498888890,-149.08157500000,61.59107222220
PAQ,50584.*A,PALMER MUNI,50,10577011,-149.08749722200,61.60398888890,-149.08739444400,61.58755277780
PAQ,50584.*A,PALMER MUNI,50,10577011,-149.08804444400,61.59811111110,-149.08800833300,61.59384166670
AK1,50585.14*A,BUTTE MUNI,50,11624511,-149.02281111100,61.53035000000,-149.01246111100,61.53028055560
4K0,50587.7*A,PEDRO BAY,50,10581111,-154.13760011100,59.79840338890,-154.12234875000,59.79550669440
PSG,50590.2*A,PETERSBURG JAMES A JOHNSON,50,10548811,-132.96130327800,56.79858358330,-132.93115908300,56.80435958330
PNP,50593.*A,PILOT POINT,50,10578311,-157.58031388900,57.58038055560,-157.56360000000,57.58038055560
0AK,50594.7*A,PILOT STATION,50,10551211,-162.90693019400,61.93462980560,-162.89219325000,61.93446013890
PTU,50598.*A,PLATINUM,50,10599911,-161.82898419400,59.01981538890,-161.82154813900,59.01163994440
PHO,50601.*A,POINT HOPE,50,10567611,-166.80488308300,68.34370427780,-166.79368444400,68.35379752780
PIZ,50601.3*A,POINT LAY LRRS,50,10567511,-163.02185833300,69.73063888890,-162.98882222200,69.73511388890
A14,50609.31*A,PORTAGE CREEK,50,10595711,-157.71649166700,58.90409166670,-157.71288055600,58.90765555560
A14,50609.31*A,PORTAGE CREEK,50,10595711,-157.71316388900,58.90802222220,-157.70377500000,58.90601944440
KPC,50612.6*A,PORT CLARENCE CGS,50,10575111,-166.85761666700,65.25960277780,-166.85763888900,65.24730833330
PTH,50615.*A,PORT HEIDEN,50,10578111,-158.63423611100,56.95688333330,-158.61064166700,56.96148333330
PTH,50615.*A,PORT HEIDEN,50,10578111,-158.65240555600,56.96361388890,-158.64162777800,56.95438333330
ORI,50615.2*A,PORT LIONS,50,10583711,-152.85312500000,57.88435277780,-152.84201944400,57.88549722220
PPC,50620.2*A,PROSPECT CREEK,50,10541611,-150.65281572200,66.80830236110,-150.63439944400,66.81977813890
AQH,50623.4*A,QUINHAGAK,50,10602911,-161.85315911100,59.75889905560,-161.83757375000,59.75128775000
RMP,50645.*A,RAMPART,50,10541411,-150.14851122200,65.51150138890,-150.13315452800,65.50429330560
RDV,50648.*A,RED DEVIL,50,10599811,-157.36221533300,61.79144419440,-157.33830758300,61.78468658330
RBY,50670.*A,RUBY,50,10541511,-155.47978969400,64.72376194440,-155.45995808300,64.73067100000
RSH,50672.*A,RUSSIAN MISSION,50,10550011,-161.31804866700,61.77979400000,-161.32075491700,61.76997719440
PBV,50680.4*A,ST GEORGE,50,12251211,-169.67461255600,56.58058125000,-169.65285608300,56.57412058330
KSM,50680.8*A,ST MARY'S,50,10550411,-163.31089333300,62.05321305560,-163.30225022200,62.05412250000
KSM,50680.8*A,ST MARY'S,50,10550411,-163.29989347200,62.07085011110,-163.30138247200,62.05443400000
SNP,50682.*A,ST PAUL ISLAND,50,10605011,-170.21981022200,57.17506233330,-170.22529713900,57.15752388890
SDP,50684.4*A,SAND POINT,50,10606211,-160.52794325000,55.31978636110,-160.51490547200,55.30760430560
SVA,50687.*A,SAVOONGA,50,10573911,-170.50485277800,63.68322222220,-170.48146944400,63.68930833330
SCM,50690.*A,SCAMMON BAY,50,10549911,-165.58171527800,61.84617305560,-165.56578333300,61.84290916670
WLK,50692.*A,SELAWIK,50,10565011,-159.99221455600,66.59729930560,-159.97566694400,66.60220397220
WLK,50692.*A,SELAWIK,50,10565011,-159.99658388900,66.60158675000,-159.97903513900,66.59954658330
SOV,50693.*A,SELDOVIA,50,10586811,-151.70468611100,59.44642222220,-151.70539444400,59.44138611110
SWD,50696.*A,SEWARD,50,10586711,-149.42186111100,60.13501666670,-149.40809722200,60.12468888890
SWD,50696.*A,SEWARD,50,10586711,-149.42085277800,60.13366666670,-149.42010555600,60.12741388890
SHX,50696.7*A,SHAGELUK,50,10541211,-159.56927025000,62.69695819440,-159.56916244400,62.68766047220
2C7,50697.*A,SHAKTOOLIK,50,10576311,-161.22876436100,64.37615386110,-161.21918063900,64.36603386110
SXP,50698.71*A,SHELDON POINT,50,10549811,-164.85164850000,62.51673163890,-164.84363755600,62.52409975000
SHH,50701.01*A,SHISHMAREF,50,10574611,-166.10453566700,66.24653852780,-166.07421136100,66.25262777780
SHG,50702.1*A,SHUNGNAK,50,10565211,-157.17485080600,66.89052158330,-157.14996322200,66.88562911110
SIT,50703.*A,SITKA ROCKY GUTIERREZ,50,10557711,-135.37303116700,57.05347552780,-135.35016208300,57.04077983330
SLQ,50711.*A,SLEETMUTE,50,10599711,-157.16799166700,61.70463888890,-157.16376944400,61.69639722220
SXQ,50713.2*A,SOLDOTNA,50,10586611,-151.05209444400,60.47496111110,-151.02438333300,60.47495555560
WSN,50714.45*A,SOUTH NAKNEK NR 2,50,10598211,-157.00858827800,58.70263752780,-156.99818502800,58.70564466670
WSN,50714.45*A,SOUTH NAKNEK NR 2,50,10598211,-157.00776486100,58.70409372220,-156.99632666700,58.69725286110
SVW,50714.6*A,SPARREVOHN LRRS,50,10599511,-155.57478611100,61.10300277780,-155.57478055600,61.09143333330
WBB,50719.4*A,STEBBINS,50,10573411,-162.28628111100,63.51419025000,-162.26973363900,63.51774808330
SVS,50721.*A,STEVENS VILLAGE,50,10541111,-149.06705875000,66.01537944440,-149.04167338900,66.01895936110
SRV,50722.01*A,STONY RIVER 2,50,10599611,-156.58590463900,61.79307441670,-156.59113361100,61.78640530560
TCT,50735.*A,TAKOTNA,50,10540911,-156.03777777800,62.99030555560,-156.02166666700,62.99555555560
TLJ,50736.*A,TATALINA LRRS,50,10540711,-155.97755833300,62.90010833330,-155.97846666700,62.88972222220
TKA,50738.*A,TALKEETNA,50,10576811,-150.08900833300,62.32477500000,-150.09836388900,62.31625000000
TAL,50746.*A,RALPH M CALHOUN MEMORIAL,50,10541011,-152.12241727800,65.17432677780,-152.09380536100,65.17446866670
7KA,50749.1*A,TATITLEK,50,10554711,-146.69623261100,60.87679852780,-146.68611008300,60.86795866670
3T4,50759.01*A,TETLIN,50,10555111,-142.52830683300,63.12559291670,-142.50877658300,63.12378819440
TNC,50760.*A,TIN CITY LRRS,50,10573711,-167.92392447200,65.57043780560,-167.92099222200,65.55762886110
TOG,50764.4*A,TOGIAK,50,10594611,-160.40618333300,59.04864166670,-160.39029722200,59.05746944440
TOG,50764.4*A,TOGIAK,50,10594611,-160.39345000000,59.05667777780,-160.38860277800,59.05568611110
6K8,50764.72*A,TOK JUNCTION,50,10555811,-142.96121972200,63.33005944440,-142.94614833300,63.32896916670
OOK,50766.4*A,TOKSOOK BAY,50,10600311,-165.08766713900,60.54573138890,-165.08670022200,60.53694133330
4KA,50773.*A,TUNUNAK,50,10603311,-165.27650500000,60.57600000000,-165.26679166700,60.57509388890
UMT,50795.*A,UMIAT,50,10567311,-152.15644252800,69.37015469440,-152.11352280600,69.37207063890
UNK,50799.*A,UNALAKLEET,50,10573611,-160.79902072200,63.88344711110,-160.78735680600,63.88269988890
UNK,50799.*A,UNALAKLEET,50,10573611,-160.80602383300,63.89800708330,-160.79601955600,63.88248905560
DUT,50801.*A,UNALASKA,50,10605511,-166.55167388900,53.90294702780,-166.53836738900,53.89492783330
UTO,50822.*A,INDIAN MOUNTAIN LRRS,50,10540611,-153.71761388900,65.99172500000,-153.68991666700,65.99378888890
VDZ,50825.1*A,VALDEZ PIONEER FIELD,50,10551311,-146.26293477800,61.13286747220,-146.22658891700,61.13556291670
AWI,50855.2*A,WAINWRIGHT,50,10571611,-160.01184252800,70.63564733330,-159.97766327800,70.64035058330
IWK,50860.*A,WALES,50,10575511,-168.09301072200,65.62795788890,-168.09690936100,65.61717052780
IYS,50870.3*A,WASILLA,50,12394611,-149.54912288900,61.56884683330,-149.53147852800,61.57447208330
IYS,50870.3*A,WASILLA,50,12394611,-149.54195833300,61.57141666670,-149.53389722200,61.57398611110
WMO,50874.*A,WHITE MOUNTAIN,50,10573311,-163.41535877800,64.69313158330,-163.41015013900,64.68523925000
UUO,50878.*A,WILLOW,50,10576711,-150.05735000000,61.75984444440,-150.04608611100,61.74905833330
WRG,50905.2*A,WRANGELL,50,10548711,-132.38249916700,56.48859900000,-132.35716272200,56.48004827780
YAK,50920.*A,YAKUTAT,50,10548511,-139.68486480600,59.49627241670,-139.66022880600,59.50880247220
YAK,50920.*A,YAKUTAT,50,10548511,-139.66468961100,59.51145294440,-139.63522066700,59.49646472220
0J0,00103.*A,ABBEVILLE MUNI,50,10535911,-85.23894444440,31.60416388890,-85.23767222220,31.59626666670
2A8,00106.*A,ADDISON MUNI,50,10755811,-87.16145000000,34.21475000000,-87.15486666670,34.21953333330
EET,00110.*A,SHELBY COUNTY,50,10537311,-86.78637688890,33.18411386110,-86.78004994440,33.17144422220
8A0,00112.1*A,ALBERTVILLE RGNL-THOMAS J BRUMLIK FLD,50,10574511,-86.26330863890,34.22352413890,-86.24820202780,34.23469350000
ALX,00116.*A,THOMAS C RUSSELL FLD,50,10534711,-85.96333350000,32.92218647220,-85.96257080560,32.90730061110
AIV,00119.*A,GEORGE DOWNER,50,10544011,-88.20493333330,33.10322222220,-88.19065000000,33.10970833330
79J,00124.*A,SOUTH ALABAMA RGNL AT BILL BENTON FIELD,50,10544811,-86.40143094440,31.31071491670,-86.38302591670,31.30598988890
ANB,00128.*A,ANNISTON RGNL,50,10569611,-85.86671608330,33.58179016670,-85.84951163890,33.59454638890
1M3,00133.5*A,ARDMORE,50,10755111,-86.88417186110,34.97543736110,-86.88239777780,34.98271222220
26A,00135.*A,ASHLAND/LINEVILLE,50,10560811,-85.81554722220,33.28419722220,-85.80238333330,33.28419722220
0R1,00140.1*A,ATMORE MUNI,50,10553411,-87.44677777780,31.02302222220,-87.44671388890,31.00940833330
AUO,00146.*A,AUBURN UNIVERSITY RGNL,50,10588411,-85.43735130560,32.61958108330,-85.42495000000,32.61630966670
